A,B,C,D,E,F,G,Widget Power,QZ
19,97,145,12.3,967,871,28,55.45,C
26,123,210,3.9,882,699,28,55.55,C
26,123,201,3.9,822,699,28,57.92,C
26,123,210,3.9,882,699,3,25.61,C
26,123,210,3.9,882,699,7,33.49,C
26,123,210,3.9,882,699,56,59.59,C
26,123,201,3.9,822,699,3,29.55,C
26,123,201,3.9,822,699,7,37.92,C
26,123,201,3.9,822,699,56,61.86,C
22,132,178,8.5,822,750,28,62.05,C
22,132,178,8.5,882,750,3,32.01,C
22,132,168,8.9,822,750,28,72.1,C
22,132,178,8.5,822,750,7,39,C
22,132,178,8.5,822,750,56,65.7,C
22,132,168,8.9,822,750,3,32.11,C
22,132,168,8.9,822,750,7,40.29,C
22,132,168,8.9,822,750,56,74.36,C
11,141,206,1.7,942,801,28,21.97,A
11,141,206,1.7,942,801,3,9.85,A
11,141,206,1.7,942,801,7,15.07,A
11,141,206,1.7,942,801,56,23.25,A
15,141,179,5.5,842,801,28,43.73,D
15,141,179,5.5,842,801,3,13.4,D
15,141,179,5.5,842,801,7,24.13,D
15,141,179,5.5,842,801,56,44.52,D
19,141,154,10.9,942,801,28,62.94,C
19,141,154,10.9,942,801,28,59.49,C
19,141,154,10.9,942,801,3,25.12,C
19,141,154,10.9,942,801,3,23.64,C
19,141,154,10.9,942,801,7,35.75,C
19,141,154,10.9,942,801,7,38.61,C
19,141,154,10.9,942,801,56,68.75,C
19,141,154,10.9,942,801,56,66.78,C
0,0,218,0,838.4,719.7,28,23.85,C
0,0,192,0,913.2,895.3,90,32.07,D
0,0,192,0,913.2,895.3,3,11.65,D
0,0,192,0,940.6,785.6,3,19.2,C
0,0,192,0,940.6,785.6,90,48.85,C
0,0,192,0,940.6,785.6,28,39.6,C
0,0,192,0,936.2,712.2,28,43.94,C
0,0,192,0,936.2,712.2,7,34.57,C
0,0,192,0,936.2,712.2,90,54.32,C
0,0,192,0,936.2,712.2,3,24.4,C
0,0,192,0,931.2,842.6,3,15.62,D
0,0,192,0,889.8,945,90,21.86,A
0,0,192,0,889.8,945,7,10.22,A
0,0,192,0,913.2,895.3,7,14.6,D
0,0,192,0,889.8,945,28,18.75,A
0,0,192,0,931.2,842.6,28,31.97,D
0,0,192,0,931.2,842.6,7,23.4,D
0,0,192,0,913.2,895.3,28,25.57,D
0,0,192,0,931.2,842.6,90,41.68,D
0,0,192,0,940.6,785.6,7,27.74,C
0,0,192,0,889.8,945,3,8.2,A
238.2,0,185.7,0,1040.6,734.3,7,9.62,B
359.4,0,185.7,0,941.6,664.3,7,25.42,A
158.8,0,185.7,0,1040.6,734.3,7,15.69,A
272.8,0,185.7,0,1012.4,714.3,28,27.94,B
290.2,0,185.7,0,998.2,704.3,28,32.63,A
170.3,0,185.7,0,1026.6,724.3,7,17.24,A
181.9,0,185.7,0,1012.4,714.3,7,19.77,D
359.4,0,185.7,0,941.6,664.3,28,39.44,A
147.2,0,185.7,0,1055,744.3,28,25.75,A
0,0,185.7,0,1040.6,734.3,28,33.08,C
0,0,185.7,0,1047.8,739.3,7,24.07,C
316.1,0,185.7,0,977,689.3,7,21.82,A
238.2,0,185.7,0,1040.6,734.3,28,21.07,B
0,0,185.7,0,1091.4,769.3,7,14.84,D
170.3,0,185.7,0,1026.6,724.3,28,32.05,A
135.7,0,185.7,0,1076.2,759.3,7,11.96,A
0,0,185.7,0,1040.6,734.3,7,25.45,C
0,0,185.7,0,1104.6,784.3,28,22.49,C
0,0,185.7,0,1091.4,769.3,28,25.22,D
342.1,0,185.7,0,955.8,674.3,28,39.7,A
147.2,0,185.7,0,1055,744.3,7,13.09,A
210.7,0,185.7,0,977,689.3,28,38.7,D
203.5,0,185.7,0,1076.2,759.3,7,7.51,B
0,0,185.7,0,1118.8,789.3,28,17.58,A
0,0,185.7,0,1069.2,754.3,7,21.18,D
203.5,0,185.7,0,1076.2,759.3,28,18.2,B
290.2,0,185.7,0,998.2,704.3,7,17.2,A
135.7,0,185.7,0,1076.2,759.3,28,22.63,A
193.5,0,185.7,0,998.2,704.3,7,21.86,D
272.8,0,185.7,0,1012.4,714.3,7,12.37,B
155.5,0,185.7,0,1026.6,724.3,28,25.73,B
316.1,0,185.7,0,977,689.3,28,37.81,A
342.1,0,185.7,0,955.8,674.3,7,21.92,A
193.5,0,185.7,0,998.2,704.3,28,33.04,D
0,0,185.7,0,1104.6,784.3,7,14.54,C
158.8,0,185.7,0,1040.6,734.3,28,26.91,A
124.1,0,185.7,0,1083.4,764.3,7,8,B
0,0,185.7,0,1069.2,754.3,28,31.9,D
0,0,185.7,0,1118.8,789.3,7,10.34,A
0,0,185.7,0,1111.6,784.3,28,19.77,A
0,0,185.7,0,1047.8,739.3,28,37.44,C
0,0,185.7,0,1111.6,784.3,7,11.48,A
210.7,0,185.7,0,977,689.3,7,24.44,D
124.1,0,185.7,0,1083.4,764.3,28,17.6,B
155.5,0,185.7,0,1026.6,724.3,7,10.73,B
181.9,0,185.7,0,1012.4,714.3,28,31.38,D
0,0,197,0,968,781,3,13.22,D
0,0,197,0,968,781,7,20.97,D
0,0,197,0,968,781,14,27.04,D
0,0,197,0,968,781,28,32.04,D
0,0,197,0,968,781,90,35.17,D
0,0,197,0,968,781,180,36.45,D
0,0,197,0,968,781,365,38.89,D
0,0,194,0,968,885,3,6.47,A
0,0,194,0,968,885,14,12.84,A
0,0,194,0,968,885,28,18.42,A
0,0,194,0,968,885,90,21.95,A
0,0,193,0,968,885,180,24.1,A
0,0,193,0,968,885,365,25.08,A
0,0,191,0,968,856,14,21.26,D
0,0,191,0,968,856,28,25.97,D
0,0,191,0,968,856,3,11.36,D
0,0,191,0,968,856,90,31.25,D
0,0,191,0,968,856,180,32.33,D
0,0,191,0,968,856,360,33.7,D
0,0,198,0,968,863,3,9.31,A
0,0,198,0,968,863,90,26.94,A
0,0,198,0,968,863,180,27.63,A
0,0,198,0,968,863,365,29.79,A
0,0,193,0,968,812,180,34.49,D
0,0,193,0,968,812,365,36.15,D
0,0,193,0,968,812,3,12.54,D
0,0,193,0,968,812,28,27.53,D
0,0,193,0,968,812,90,32.92,D
0,0,193,0,968,885,7,9.99,A
0,0,180,0,1125,845,7,7.84,A
0,0,180,0,1125,845,28,12.25,A
0,0,181,0,1113,833,7,11.17,A
0,0,181,0,1113,833,28,17.34,A
0,0,184,0,1063,783,7,17.54,D
0,0,184,0,1063,783,28,30.57,D
0,0,183,0,1088,808,7,14.2,D
0,0,183,0,1088,808,28,24.5,D
0,0,184,0,1075,795,7,15.58,D
0,0,184,0,1075,795,28,26.85,D
0,0,186,0,1038,758,7,26.06,C
0,0,186,0,1038,758,28,38.21,C
0,0,187,0,1025,745,28,43.7,C
0,0,187,0,1025,745,7,30.14,C
0,0,182,0,1100,820,7,12.73,A
0,0,182,0,1100,820,28,20.87,A
0,0,186,0,1050,770,7,20.28,C
0,0,186,0,1050,770,28,34.29,C
305.3,0,203.5,0,963.4,630,7,19.54,A
166.8,0,203.5,0,977.6,694.1,90,47.71,A
236,0,192,0,935.4,781.2,90,43.38,B
212,0,203.5,0,971.8,748.5,28,29.89,B
250.2,0,203.5,0,975.6,692.6,3,6.9,B
183.9,0,203.5,0,958.2,800.1,90,33.19,B
122.6,0,203.5,0,959.2,800,3,4.9,B
153,0,192,0,887,942,3,4.57,B
153,0,192,0,887,942,90,25.46,B
183.9,0,203.5,0,958.2,800.1,28,24.29,B
250.2,0,203.5,0,975.6,692.6,28,33.95,B
133,0,192,0,965.4,806.2,3,11.41,A
162.4,0,203.5,0,938.2,849,28,20.59,B
203.5,0,203.5,0,965.4,631,7,25.89,D
162.4,0,203.5,0,938.2,849,90,29.23,B
173,0,192,0,909.8,891.9,90,31.02,B
212,0,203.5,0,971.8,748.5,7,10.39,B
236,0,192,0,935.4,781.2,28,33.66,B
200,0,192,0,927.4,839.2,28,27.87,B
166.8,0,203.5,0,977.6,694.1,7,19.35,A
116,0,192,0,946.8,856.8,7,11.39,B
288,0,192,0,929.8,716.1,3,12.79,A
288,0,192,0,929.8,716.1,28,39.32,A
102,0,192,0,888,943.1,3,4.78,B
192,0,192,0,932,717.8,3,16.11,D
203.5,0,203.5,0,965.4,631,28,43.38,D
157,0,192,0,972.6,749.1,7,20.42,A
116,0,192,0,946.8,856.8,3,6.94,B
141.3,0,203.5,0,973.4,750,7,15.03,A
157,0,192,0,972.6,749.1,3,13.57,A
122.6,0,203.5,0,959.2,800,90,32.53,B
250.2,0,203.5,0,975.6,692.6,7,15.75,B
153,0,192,0,887,942,7,7.68,B
192,0,192,0,932,717.8,28,38.8,D
141.3,0,203.5,0,973.4,750,28,33,A
153,0,192,0,887,942,28,17.28,B
116,0,192,0,946.8,856.8,28,24.28,B
122.6,0,203.5,0,959.2,800,28,24.05,B
200,0,192,0,927.4,839.2,90,36.59,B
288,0,192,0,929.8,716.1,90,50.73,A
200,0,192,0,927.4,839.2,7,13.66,B
203.5,0,203.5,0,965.4,631,3,14.14,D
157,0,192,0,972.6,749.1,90,47.78,A
162.4,0,203.5,0,938.2,849,3,2.33,B
236,0,192,0,935.4,781.2,7,16.89,B
192,0,192,0,932,717.8,7,23.52,D
141.3,0,203.5,0,973.4,750,3,6.81,A
141.3,0,203.5,0,973.4,750,90,39.7,A
102,0,192,0,888,943.1,28,17.96,B
157,0,192,0,972.6,749.1,28,32.88,A
173,0,192,0,909.8,891.9,28,22.35,B
122.6,0,203.5,0,959.2,800,7,10.79,B
162.4,0,203.5,0,938.2,849,7,7.72,B
305.3,0,203.5,0,963.4,630,28,41.68,A
305.3,0,203.5,0,963.4,630,3,9.56,A
200,0,192,0,927.4,839.2,3,6.88,B
192,0,192,0,932,717.8,90,50.53,D
133,0,192,0,965.4,806.2,7,17.17,A
133,0,192,0,965.4,806.2,28,30.44,A
166.8,0,203.5,0,977.6,694.1,3,9.73,A
183.9,0,203.5,0,958.2,800.1,3,3.32,B
102,0,192,0,888,943.1,90,26.32,B
133,0,192,0,965.4,806.2,90,43.25,A
173,0,192,0,909.8,891.9,3,6.28,B
116,0,192,0,946.8,856.8,90,32.1,B
166.8,0,203.5,0,977.6,694.1,28,36.96,A
203.5,0,203.5,0,965.4,631,90,54.6,D
288,0,192,0,929.8,716.1,7,21.48,A
236,0,192,0,935.4,781.2,3,9.69,B
102,0,192,0,888,943.1,7,8.37,B
212,0,203.5,0,971.8,748.5,90,39.66,B
173,0,192,0,909.8,891.9,7,10.09,B
212,0,203.5,0,971.8,748.5,3,4.83,B
183.9,0,203.5,0,958.2,800.1,7,10.35,B
250.2,0,203.5,0,975.6,692.6,90,43.57,B
305.3,0,203.5,0,963.4,630,90,51.86,A
0,0,192,0,1012,830,3,11.85,D
0,0,192,0,1012,830,7,17.24,D
0,0,192,0,1012,830,28,27.83,D
0,0,192,0,1012,830,90,35.76,D
0,0,192,0,1012,830,120,38.7,D
0,0,192,0,1025,821,3,14.31,D
0,0,192,0,1025,821,7,17.44,D
0,0,192,0,1025,821,28,31.74,D
0,0,192,0,1025,821,90,37.91,D
0,0,192,0,1025,821,120,39.38,D
0,0,192,0,1056,809,3,15.87,D
0,0,192,0,1056,809,7,9.01,D
0,0,192,0,1056,809,28,33.61,D
0,0,192,0,1056,809,90,40.66,D
0,0,192,0,1056,809,120,40.86,D
0,0,186,0,1119,789,7,12.05,A
0,0,186,0,1119,789,28,17.54,A
0,0,186,0,1090,769,7,18.91,D
0,0,186,0,1090,769,28,25.18,D
0,0,186,0,1040,734,7,30.96,D
0,0,192,0,936,721,28,43.89,C
0,0,192,0,936,721,90,54.28,C
0,0,186,0,1040,734,28,36.94,C
0,0,186,0,1104,774,7,14.5,D
0,0,185,0,1104,774,28,22.44,D
0,0,200,0,1125,613,1,12.64,C
0,0,200,0,1125,613,3,26.06,C
0,0,200,0,1125,613,7,33.21,C
0,0,200,0,1125,613,14,36.94,C
0,0,200,0,1125,613,28,44.09,C
0,0,173,0,1125,613,7,52.61,C
0,0,173,0,1125,613,14,59.76,C
0,0,173,0,1125,613,28,67.31,C
0,0,173,0,1125,613,90,69.66,C
0,0,173,0,1125,613,180,71.62,C
0,0,173,0,1125,613,270,74.17,C
0,0,203,0,974,775,7,18.13,C
0,0,203,0,974,775,14,22.53,C
0,0,203,0,974,775,28,27.34,C
0,0,203,0,974,775,56,29.98,C
0,0,203,0,974,775,90,31.35,C
0,0,203,0,974,775,180,32.72,C
0,0,186,0,966,763,1,6.27,C
0,0,186,0,966,763,3,14.7,C
0,0,186,0,966,763,7,23.22,C
0,0,186,0,966,763,14,27.92,C
0,0,186,0,966,763,28,31.35,C
0,0,192,0,978,825,180,39,D
0,0,192,0,978,825,360,41.24,D
0,0,192,0,1047,806,3,14.99,D
0,0,192,0,978,825,3,13.52,D
0,0,186,0,1047,739,7,24,C
0,0,186,0,1047,739,28,37.42,C
0,0,186,0,1111,784,7,11.47,C
0,0,186,0,1104,774,28,22.44,D
0,0,185,0,1069,754,7,21.16,D
0,0,185,0,1069,754,28,31.84,D
0,0,185,0,1069,769,7,14.8,D
0,0,185,0,1069,769,28,25.18,D
0,0,185,0,1118,789,28,17.54,A
0,0,192,0,1085,765,7,14.2,D
0,0,192,0,1085,765,28,21.65,D
0,0,192,0,1085,765,90,29.39,D
0,0,192,0,879,825,3,13.52,D
0,0,192,0,978,825,7,16.26,D
0,0,192,0,978,825,28,31.45,D
0,0,192,0,978,825,90,37.23,D
0,0,192,0,1047,806,7,18.13,D
0,0,192,0,1047,806,28,32.72,D
0,0,192,0,1047,806,90,39.49,D
0,0,192,0,1047,806,180,41.05,D
0,0,192,0,1047,806,360,42.13,D
0,0,203,0,974,817,14,18.13,D
0,0,203,0,974,817,180,26.74,D
0,0,189,0,1125,613,180,61.92,C
0,0,200,0,1125,613,90,47.22,C
0,0,200,0,1125,613,180,51.04,C
0,0,200,0,1125,613,270,55.16,C
0,0,173,0,1125,613,3,41.64,C
0,0,185,0,1111,784,7,13.71,A
0,0,185,0,1111,784,28,19.69,A
0,0,185,0,1060,754,28,31.65,D
0,0,192,0,940,758,3,19.11,C
0,0,192,0,940,758,28,39.58,C
0,0,192,0,940,758,90,48.79,C
0,0,185,0,1047,739,7,24,C
0,0,185,0,1047,739,28,37.42,C
0,0,186,0,1111,784,7,11.47,A
0,0,185,0,1111,784,28,19.69,A
0,0,192,0,970,850,7,14.99,D
0,0,192,0,970,850,28,27.92,D
0,0,192,0,970,850,90,34.68,D
0,0,192,0,970,850,180,37.33,D
0,0,192,0,970,850,360,38.11,D
0,0,189,0,1125,613,3,33.8,C
0,0,189,0,1125,613,7,42.42,C
0,0,189,0,1125,613,14,48.4,C
0,0,189,0,1125,613,28,55.94,C
0,0,189,0,1125,613,90,58.78,C
0,0,189,0,1125,613,270,67.11,C
0,0,203,0,974,800,14,20.77,D
0,0,203,0,974,800,28,25.18,D
0,0,203,0,974,800,180,29.59,D
0,0,203,0,974,817,28,21.75,D
0,0,185,0,1040,734,28,39.09,C
0,0,192,0,936,721,3,24.39,C
0,0,146,0,896,896,7,50.51,C
0,0,146,0,896,896,28,74.99,C
105,82,210,9,904,680,28,37.17,D
190,148,179,19,838,741,28,33.76,B
144,112,220,10,923,658,28,16.5,B
115,89,202,9,860,829,28,19.99,B
178,139,168,18,944,695,28,36.35,B
143,111,168,22,914,651,28,33.69,D
0,175,158,18,943,844,28,15.42,B
140,0,214,6,895,722,28,33.42,D
0,0,190,7,1013,730,28,39.05,C
149,116,175,15,953,720,28,27.68,B
239,0,200,6,1002,684,28,26.86,B
143,0,168,10,914,804,28,45.3,D
0,100,196,10,959,705,28,30.12,D
0,184,167,12,991,772,28,15.57,B
167,130,174,11,883,785,28,44.61,B
137,107,201,6,878,655,28,53.52,D
164,0,190,5,870,774,28,57.21,D
187,0,191,7,824,757,28,65.91,C
129,100,172,9,825,805,28,52.82,D
97,76,194,8,835,821,28,33.4,A
0,150,182,12,1023,729,28,18.03,B
243,0,180,11,1022,698,28,37.36,B
188,146,203,11,829,710,28,32.84,B
0,107,186,6,879,815,28,42.64,D
0,126,210,6,861,737,28,40.06,D
121,94,188,9,904,696,28,41.94,D
166,0,174,9,882,790,28,61.23,D
0,142,193,11,801,778,28,40.87,C
207,161,179,5,867,736,28,33.3,B
149,0,186,8,951,709,28,52.42,D
0,200,181,13,849,846,28,15.09,B
0,113,170,10,925,783,28,38.46,D
0,128,182,11,870,780,28,37.26,D
164,128,237,6,869,656,28,35.23,B
121,0,177,7,908,829,28,42.13,D
0,107,210,11,880,744,28,31.87,D
111,86,195,6,833,790,28,41.54,A
250,0,168,12,1049,688,28,39.45,B
260,0,183,13,859,827,28,37.91,B
116,90,180,9,870,768,28,44.28,D
0,116,196,10,818,813,28,31.18,D
139,109,193,6,892,780,28,23.69,B
187,0,176,11,990,789,28,32.76,B
100,78,201,9,864,761,28,32.4,A
92,71,247,6,853,695,28,28.63,A
0,113,178,8,1002,689,28,36.8,D
183,0,193,9,1047,697,28,18.28,B
230,0,202,3,827,872,28,33.06,B
0,107,221,11,819,778,28,31.42,D
210,0,196,3,949,795,28,31.03,B
145,0,178,8,867,824,28,44.39,D
0,112,184,8,992,816,28,12.18,B
145,113,178,8,1002,689,28,25.56,B
133,103,200,7,916,753,28,36.44,B
236,0,176,13,847,893,28,32.96,B
0,120,212,10,878,728,28,23.84,D
145,113,178,8,867,824,28,26.23,B
0,137,158,16,1002,830,28,17.95,B
0,138,199,11,801,792,28,40.68,D
145,0,178,8,1000,822,28,19.01,B
111,86,195,5,895,733,28,33.72,A
0,195,220,11,898,713,28,8.54,B
0,185,167,16,1074,678,28,13.46,B
0,90,199,11,931,762,28,32.24,D
118,92,183,7,953,780,28,23.52,B
169,143,191,8,967,643,28,29.72,B
101,78,171,10,936,763,28,49.77,A
161,0,178,10,917,759,28,52.44,D
120,0,168,7,970,794,28,40.93,D
0,0,182,3,986,817,28,44.86,D
0,134,181,11,979,812,28,13.2,B
237,0,174,12,1069,675,28,37.43,B
170,133,192,8,814,805,28,29.87,B
170,0,195,8,811,802,28,56.61,D
0,143,193,9,1047,697,28,12.46,B
183,0,193,9,877,868,28,23.79,B
0,166,180,10,961,805,28,13.29,B
112,87,178,10,910,745,28,39.42,A
145,113,179,8,869,690,28,46.23,D
145,0,127,8,1000,822,28,44.52,D
173,0,182,3,986,817,28,23.74,B
136,106,178,7,941,774,28,26.14,B
0,182,181,15,839,884,28,15.52,B
117,91,191,7,946,666,28,43.57,D
0,107,164,13,953,784,28,35.86,D
145,0,178,8,1002,689,28,41.05,D
184,143,194,9,880,699,28,28.99,B
134,0,195,6,924,760,28,46.24,D
175,0,171,2,1000,828,28,26.92,B
0,179,202,8,824,869,28,10.54,B
0,0,178,8,1000,822,28,25.1,D
162,126,172,10,923,764,28,29.07,B
0,143,193,9,877,868,28,9.74,B
99,77,189,6,919,749,28,33.8,A
207,172,216,10,822,638,28,39.84,B
196,98,199,6,847,783,28,26.97,B
163,128,197,8,961,641,28,27.23,B
214,164,202,10,820,680,28,30.65,B
214,152,200,9,819,704,28,33.05,B
153,194,192,8,935,623,28,24.58,B
105,193,196,6,965,643,28,21.91,B
209,161,201,7,848,669,28,30.88,B
15,195,176,6,1021,709,28,15.34,B
174,185,228,7,845,612,28,24.34,B
187,195,185,7,898,636,28,23.89,B
86,190,213,6,923,623,28,22.93,B
178,187,221,7,854,614,28,29.41,B
91.7,71.5,246.9,6,852.9,695.4,28,28.63,A
0,113,178.5,8,1001.9,688.7,28,36.8,D
183.4,0,193.3,9.1,1047.4,696.7,28,18.29,B
230.5,0,202.5,3.4,827,871.8,28,32.72,B
0,106.7,221.4,10.5,819.2,778.4,28,31.42,D
210.2,0,195.7,3.1,949.4,795.3,28,28.94,B
145,0,178.5,8,867.2,824,28,40.93,D
0,111.9,184.4,7.9,992,815.9,28,12.18,B
145,113,178.5,8,1001.9,688.7,28,25.56,B
132.6,103.3,200.3,7.4,916,753.4,28,36.44,B
236,0,175.8,12.6,846.8,892.7,28,32.96,B
0,119.8,211.5,9.9,878.2,727.6,28,23.84,D
145,113,178.5,8,867.2,824,28,26.23,B
0,136.6,158.1,16.1,1001.8,830.1,28,17.96,B
0,137.9,199,10.8,801.1,792.5,28,38.63,D
144.7,0,178.1,8,999.7,822.2,28,19.01,B
110.5,86.1,195.4,5,895.2,732.6,28,33.72,A
0,194.9,219.7,11,897.7,712.9,28,8.54,B
0,185.3,166.7,15.6,1074.5,678,28,13.46,B
0,89.6,198.7,10.6,931.3,762.2,28,32.25,D
117.6,91.7,182.9,7.1,953.4,780.3,28,23.52,B
169.4,142.7,190.7,8.4,967.4,643.5,28,29.73,B
100.6,78.4,170.6,10.4,935.7,762.9,28,49.77,A
160.5,0,177.6,9.6,916.6,759.5,28,52.45,D
119.7,0,168.3,7.2,970.4,794.2,28,40.93,D
0,0,181.9,3.4,985.8,816.8,28,44.87,D
0,133.6,180.8,11.1,979.5,811.5,28,13.2,B
236.8,0,173.8,11.9,1069.3,674.8,28,37.43,B
170.2,132.6,191.6,8.5,814.1,805.3,28,29.87,B
169.6,0,194.9,8.1,811,802.3,28,56.62,D
0,142.8,193.3,9.1,1047.4,696.7,28,12.46,B
183.4,0,193.3,9.1,877.2,867.7,28,23.79,B
0,165.7,180.2,10,961,804.9,28,13.29,B
112.3,87.5,177.9,10.4,909.7,744.5,28,39.42,A
145.3,113.2,178.9,8,869.1,690.2,28,46.23,D
144.7,0,127.3,8,999.7,822.2,28,44.52,D
172.6,0,181.9,3.4,985.8,816.8,28,23.74,B
136.3,106.2,178.1,7.5,941.5,774.3,28,26.15,B
0,182.1,181.4,15,838.9,884.3,28,15.53,B
116.8,91,190.6,7,946.5,665.6,28,43.58,D
0,107.5,163.6,12.8,953.2,784,28,35.87,D
145,0,178.5,8,1001.9,688.7,28,41.05,D
183.9,143.2,193.8,9.2,879.6,698.5,28,28.99,B
133.7,0,194.9,5.5,924.1,760.1,28,46.25,D
175.1,0,171.2,2.2,1000,828.5,28,26.92,B
0,178.9,201.7,7.8,824,868.7,28,10.54,B
0,0,178.1,8,999.7,822.2,28,25.1,D
161.6,125.8,171.6,10.4,922.6,764.4,28,29.07,B
0,142.8,193.3,9.1,877.2,867.7,28,9.74,B
98.8,77,188.6,6.5,919,749.3,28,33.8,A
105.1,81.8,209.7,9,904,679.7,28,37.17,D
190.1,148.1,178.8,18.8,838.1,741.4,28,33.76,B
144.2,112.3,220.1,10.1,923.2,657.9,28,16.5,B
114.6,89.3,201.9,8.8,860,829.5,28,19.99,B
178.1,138.7,167.5,18.3,944,694.6,28,36.35,B
142.8,111.2,167.8,22.1,913.9,651.2,28,38.22,D
0,174.9,158.4,17.9,942.7,844.5,28,15.42,B
139.9,0,213.5,6.2,895.5,722.5,28,33.42,D
0,0,190.2,6.7,1013.2,730.4,28,39.06,C
148.9,116,175.1,15,953.3,719.7,28,27.68,B
238.7,0,200,6.3,1001.8,683.9,28,26.86,B
142.8,0,167.9,10,914.3,804,28,45.3,D
0,99.6,196,9.8,959.4,705.2,28,30.12,D
0,183.9,166.6,11.6,991.2,772.2,28,15.57,B
166.6,129.7,173.5,10.9,882.6,785.3,28,44.61,B
137.2,106.9,201.3,6,878.4,655.3,28,53.52,D
164.2,0,190.5,4.6,870,774,28,57.22,D
187,0,191.3,6.6,824.3,756.9,28,65.91,C
128.9,100.4,172.4,9.5,825.1,804.9,28,52.83,D
97.1,75.6,193.8,8.3,835.5,821.4,28,33.4,A
0,150.4,181.6,11.7,1023.3,728.9,28,18.03,B
243.5,0,180.3,10.7,1022,697.7,28,37.36,B
188,146.4,203.2,11.3,828.7,709.7,28,35.31,B
0,107,186.4,6.1,879,815.2,28,42.64,D
0,126.5,209.7,5.7,860.5,736.6,28,40.06,D
120.5,93.9,187.6,9.2,904.4,695.9,28,43.8,D
166.4,0,174,8.9,881.6,790,28,61.24,D
0,141.6,193.3,11,801.4,778.4,28,40.87,C
206.5,160.9,178.9,5.5,866.9,735.6,28,33.31,B
148.6,0,185.8,8.5,951,709.5,28,52.43,D
0,200.1,181.2,12.6,849.3,846,28,15.09,B
0,112.6,169.9,10.1,925.3,782.9,28,38.46,D
0,127.9,182.5,11.5,870.1,779.7,28,37.27,D
163.9,127.7,236.7,5.8,868.6,655.6,28,35.23,B
121,0,177.4,7,907.9,829.5,28,42.14,D
0,107,209.7,11.1,879.6,744.2,28,31.88,D
111,86.5,195.5,5.9,832.6,790.4,28,41.54,A
250,0,168.4,12.2,1049.3,688.2,28,39.46,B
259.7,0,183.2,12.7,858.8,826.8,28,37.92,B
116,90.3,179.6,8.9,870.1,768.3,28,44.28,D
0,115.6,196,10.4,817.9,813.4,28,31.18,D
139.4,108.6,192.7,6.1,892.4,780,28,23.7,B
186.7,0,175.6,11.3,989.6,788.9,28,32.77,B
100.5,78.3,200.6,8.6,864.5,761.5,28,32.4,A
