Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Expense Type 1,Expense Type 2,Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property ID,Property Age,Property Type,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD)
M,57,1517.6,Low,Working,,Rural,58563.03,252.09,N,N,1,708.21,0,Inactive,620,1517.6,4,Rural,1,98885.83,40994.12
F,26,4614.18,Low,State servant,Core staff,Urban,280052.72,856.8,N,N,4,824.53,0,Active,251,4614.18,1,Urban,1,419663.22,0
M,39,2177.97,Low,Commercial associate,Laborers,Rural,113398.69,615.15,N,Y,2,654.51,0,Unpossessed,672,2177.97,2,Rural,1,205148.52,73709.15
M,60,2150.51,High,Pensioner,,Semi-Urban,41012.65,179.79,N,Y,2,783.25,0,,109,2150.51,4,Urban,0,49134.51,28708.86
F,39,968.24,Low,Working,Sales staff,Semi-Urban,17566.84,224.26,N,Y,1,810.3,1,Inactive,238,968.24,2,Semi-Urban,1,21201.91,12296.79
M,29,1687.83,Low,Commercial associate,Core staff,Rural,50214.11,335.64,N,Y,2,,0,Inactive,76,,4,Urban,1,73208.17,0
F,54,,Low,State servant,Core staff,Semi-Urban,83556.87,217.85,Y,Y,2,,0,Inactive,25,,3,Urban,1,141637.83,54311.97
F,25,2624.62,Low,Commercial associate,Managers,Semi-Urban,40065.09,345.21,Y,Y,3,778.97,1,Unpossessed,587,2624.62,3,Rural,1,73252.86,28045.56
F,46,3247.08,Low,Working,Laborers,Urban,68460.55,304.2,N,N,,794.96,0,Unpossessed,555,3247.08,2,Urban,1,94291.51,-999
M,55,4829.24,Low,State servant,High skill tech staff,Semi-Urban,223501.25,587.79,Y,Y,3,791.63,1,Inactive,763,4829.24,1,Rural,0,349941.92,0
F,21,,Low,Working,Cooking staff,Semi-Urban,62991.38,329.31,Y,Y,5,677.89,1,Inactive,569,,3,Rural,1,116763.44,40944.4
F,39,3168.92,Low,Working,Managers,Semi-Urban,79081.39,633.66,Y,Y,3,764.36,1,Inactive,501,3168.92,4,Semi-Urban,1,146963.11,59311.04
F,36,1771.9,Low,Working,Laborers,Semi-Urban,29289.36,281.3,N,Y,2,,1,Unpossessed,299,1771.9,2,Semi-Urban,1,42526.38,19038.08
M,44,3455.72,Low,Working,,Semi-Urban,163585.08,580.99,N,N,3,676.56,0,Unpossessed,611,3455.72,1,Semi-Urban,1,183652.59,0
F,55,,Low,State servant,Managers,Urban,64918.41,736.52,N,Y,1,811.45,0,Inactive,849,,2,Semi-Urban,1,102407.51,45442.89
M,61,3101.36,Low,Working,Accountants,Semi-Urban,42161.74,190.31,Y,Y,1,828.29,0,Inactive,349,3101.36,3,Urban,1,66210.26,31621.3
M,18,1849.48,Low,Working,High skill tech staff,Semi-Urban,73680.15,392.94,Y,Y,5,756.39,0,Inactive,867,1849.48,1,Urban,1,121756.82,58944.12
M,28,2826.07,Low,Working,Drivers,Semi-Urban,91296.94,439.49,Y,Y,4,673.93,0,Active,765,2826.07,3,Urban,1,115187.64,59343.01
F,54,2720.17,Low,Working,Accountants,Semi-Urban,29328.26,159.14,Y,Y,1,,0,Unpossessed,832,2720.17,3,Semi-Urban,1,32370.66,20529.78
M,19,1688.64,Low,Working,Laborers,Semi-Urban,37853.22,185.83,Y,Y,2,785.63,0,Unpossessed,283,1688.64,4,Urban,1,68473.9,26497.25
F,18,,Low,Working,Laborers,Semi-Urban,67004.73,299.39,N,N,,644.95,0,Unpossessed,464,,3,Urban,1,79020.38,0
F,25,2884.78,Low,Working,Laborers,Semi-Urban,35454.24,456.57,Y,Y,2,720.46,0,Unpossessed,189,2884.78,3,Urban,1,60795.89,0
F,51,1415.43,Low,Working,Waiters/barmen staff,Rural,46131.75,320.56,N,N,3,628.62,0,Active,279,1415.43,4,Semi-Urban,1,81797.13,0
M,38,4598.05,Low,Commercial associate,Accountants,Urban,177290.1,551.89,N,Y,1,799.93,0,Active,210,4598.05,4,Rural,1,236539.91,0
M,56,2297.13,Low,Working,Sales staff,Urban,46297.7,261.72,N,N,3,711.45,0,Active,649,2297.13,2,Semi-Urban,1,81292.68,30093.5
F,18,2729.77,Low,Commercial associate,Laborers,Semi-Urban,74785.62,410.55,Y,Y,1,674.33,1,Active,49,2729.77,2,Semi-Urban,1,109653.52,48610.65
M,24,2458.63,Low,State servant,,Rural,31530.45,152.86,N,Y,1,735.36,1,Inactive,126,2458.63,4,Rural,1,51771.68,20494.79
F,46,3729.92,Low,Working,Core staff,Semi-Urban,182910.18,1149.97,N,Y,2,833.32,0,Inactive,890,3729.92,2,Semi-Urban,1,334012.01,0
M,56,3876.9,Low,Commercial associate,Private service staff,Urban,84320.01,427.49,N,Y,1,669.66,0,Active,337,3876.9,3,Semi-Urban,0,112757.86,0
M,22,1725.32,Low,Commercial associate,Security staff,Semi-Urban,51737.17,326.92,Y,Y,3,651.63,1,Active,385,1725.32,4,Rural,1,93939.59,33629.16
F,18,1870.89,Low,State servant,,Semi-Urban,136636.61,529.33,N,Y,2,789.76,0,Unpossessed,236,1870.89,4,Rural,1,207220.78,0
F,59,4793.47,,State servant,Medicine staff,Semi-Urban,189704.01,1044.7,N,Y,,860.92,0,Active,394,4793.47,2,Urban,1,343344.85,151763.21
F,45,3177.27,,Working,Medicine staff,Semi-Urban,87274.66,431.79,N,N,3,767.65,0,Inactive,49,3177.27,2,Semi-Urban,1,144711.63,69819.73
F,50,1308.25,Low,Working,Laborers,Semi-Urban,148049.05,531.55,N,Y,3,759.08,1,Inactive,607,1308.25,3,Urban,1,229737.14,103634.34
F,60,2524.74,Low,Working,Managers,Semi-Urban,36929.5,227.51,Y,N,3,717.64,0,Active,842,2524.74,4,Rural,1,44977.36,0
M,18,950.95,Low,Working,Core staff,Semi-Urban,21814.6,122.09,N,N,2,656.53,0,Unpossessed,517,950.95,4,Semi-Urban,1,34808.28,15270.22
M,24,2096.58,Low,Working,Drivers,Rural,34275.78,292.24,N,N,2,621.31,0,Active,596,,4,Semi-Urban,1,60383.14,0
F,63,2946.29,Low,Working,Private service staff,Semi-Urban,112863.51,545.88,N,Y,,752.44,0,Active,463,2946.29,1,Urban,1,154915.6,79004.46
M,47,5256.45,Low,Working,Secretaries,Rural,111016.99,808.11,N,Y,2,802.52,0,Active,165,5256.45,3,Rural,1,147512.01,77711.89
F,21,3028.57,Low,Working,Laborers,Semi-Urban,175708.35,593.24,N,Y,2,601.93,0,Inactive,450,3028.57,3,Semi-Urban,1,203224.24,0
F,64,3307.99,Low,Working,Laborers,Semi-Urban,39142.61,218.05,Y,Y,2,732.54,0,Unpossessed,984,3307.99,3,Semi-Urban,1,55479.09,27399.83
F,34,1944.45,Low,Working,,Semi-Urban,62955.66,300.67,N,Y,1,816.46,0,Active,516,1944.45,1,Urban,1,113762.13,50364.53
F,18,,,Working,,Semi-Urban,123452.57,636.57,N,Y,2,668.41,0,Active,425,,2,Semi-Urban,1,217460.83,80244.17
F,65,1814.58,,Pensioner,,Semi-Urban,41656.6,229.83,Y,Y,1,845.23,0,Active,696,1814.58,4,Urban,1,67648.72,33325.28
M,64,1104.27,High,Pensioner,,Rural,34920.17,175.56,N,Y,1,812.47,1,Unpossessed,888,1104.27,1,Urban,1,61487.58,24444.12
M,51,4209.71,,Working,Sales staff,Semi-Urban,79690.47,420.74,Y,Y,2,810.34,1,Active,574,4209.71,3,Urban,1,128814.58,63752.38
M,18,,Low,Working,Laborers,Semi-Urban,75378.69,408.61,N,N,1,614.77,1,Unpossessed,972,,3,Rural,1,114937.3,0
F,40,,Low,State servant,,Rural,61929.68,258.94,Y,Y,2,809.71,0,Inactive,690,,2,Semi-Urban,1,79985.52,49543.74
M,62,7356.57,Low,Working,Laborers,Semi-Urban,304135.78,1007.69,Y,Y,2,787.93,0,Inactive,449,,2,Semi-Urban,1,445829.27,243308.62
M,43,1272.75,Low,Working,Cooking staff,Semi-Urban,73422.53,302.37,N,N,1,662.61,0,Active,532,1272.75,3,Rural,1,93744.2,51395.77
M,61,2715.14,Low,Commercial associate,Medicine staff,Semi-Urban,73824.41,281.13,Y,N,3,651.32,0,Active,13,2715.14,1,Semi-Urban,1,83440.31,51677.09
F,38,1910.08,Low,Commercial associate,Low-skill Laborers,Urban,96856.81,699.95,N,N,1,649.44,0,Inactive,789,1910.08,4,Rural,1,120897.8,0
F,52,2390.31,Low,Working,,Semi-Urban,69573.56,330.69,N,Y,2,663.59,0,Inactive,870,2390.31,4,Semi-Urban,1,127393,45222.81
F,56,3148.79,Low,Working,Drivers,Rural,24547.08,322.84,N,Y,5,684.13,1,Inactive,5,3148.79,1,Semi-Urban,0,41413.79,0
M,43,2840.44,Low,Commercial associate,Core staff,Rural,75384.47,554.26,N,Y,2,695.51,1,Active,976,2840.44,4,Rural,1,107794.51,52769.13
M,56,5043.95,Low,Working,Managers,Semi-Urban,41237.8,268.63,Y,Y,4,658.15,0,Active,293,5043.95,1,Rural,1,59645.91,26804.57
F,57,9706.49,Low,Commercial associate,Managers,Urban,137243.3,687.59,N,Y,2,805.93,0,Unpossessed,494,9706.49,2,Urban,1,182277.63,96070.31
F,63,3516.53,Low,Working,Managers,Semi-Urban,111662.86,670.31,N,N,1,822.91,0,Unpossessed,870,3516.53,4,Semi-Urban,1,149145.97,89330.29
M,32,1677.96,Low,Commercial associate,IT staff,Semi-Urban,41840.58,191.83,N,N,,791.32,0,Active,196,1677.96,2,Rural,1,76035.02,29288.41
F,19,1165.99,Low,Commercial associate,Accountants,Semi-Urban,32467.64,92.46,N,N,4,672.42,0,,628,1165.99,4,Semi-Urban,1,59024.05,21103.97
F,39,1146.39,Low,Working,Core staff,Rural,39236.34,255.37,N,Y,2,709.01,0,Unpossessed,927,1146.39,4,Rural,1,51677.95,27465.44
M,26,1370.87,Low,Commercial associate,Waiters/barmen staff,Urban,83468.61,409.88,N,N,1,791.91,0,Unpossessed,341,1370.87,1,Urban,1,139417.35,62601.46
F,44,1716.04,Low,Commercial associate,Cleaning staff,Semi-Urban,76301.66,490.47,Y,Y,2,690.96,0,Active,708,1716.04,1,Semi-Urban,0,114537.44,0
M,63,1877.65,Low,State servant,Core staff,Rural,115097.92,331.76,N,N,3,737.81,0,Active,242,1877.65,4,Semi-Urban,1,207930.57,74813.65
F,53,4200.13,Low,State servant,Core staff,Semi-Urban,86628.27,424.08,Y,Y,4,662.6,0,Inactive,96,4200.13,2,Rural,1,114553.67,60639.79
F,33,1567.28,,Working,Laborers,Semi-Urban,45709.33,234.92,N,Y,2,852.15,0,Active,284,1567.28,3,Semi-Urban,1,52018.76,31996.53
F,61,2567.89,Low,Commercial associate,Drivers,Semi-Urban,71574.04,262.73,Y,N,1,643.41,0,Unpossessed,862,2567.89,3,Rural,0,87688.16,0
F,61,3160.45,Low,Working,Cleaning staff,Semi-Urban,122444.66,363.8,Y,Y,5,708.57,1,Active,958,3160.45,4,Semi-Urban,1,199497.42,85711.26
M,19,,Low,Working,,Rural,16654.53,146.71,N,Y,2,778.66,1,Unpossessed,909,,4,Rural,1,25748.8,11658.17
M,20,2262.63,Low,Working,Laborers,Rural,113388.34,412.97,N,N,2,701.88,1,Active,223,2262.63,1,Rural,1,195051.21,79371.84
M,64,2580.23,High,Pensioner,,Semi-Urban,92467.54,289.75,N,N,1,,0,Inactive,949,2580.23,2,Urban,0,114825.34,69350.66
F,64,2302.11,Low,Working,Sales staff,Semi-Urban,57314.47,382.73,N,Y,4,772.61,0,Unpossessed,504,2302.11,1,Rural,1,94594.95,45851.58
M,63,2506.53,Low,Commercial associate,Core staff,Urban,74886.58,603.98,Y,Y,2,792.8,1,Active,880,2506.53,4,Semi-Urban,1,97921.06,59909.26
M,59,5984.61,Low,Working,Managers,Semi-Urban,62085.8,659.63,N,Y,,840.77,0,Unpossessed,701,5984.61,1,Rural,1,117414.7,43460.06
F,40,4389.72,Low,Working,Managers,Semi-Urban,110090.18,876.16,N,Y,1,794.41,1,Unpossessed,938,4389.72,2,Rural,1,168042.34,77063.13
F,64,1612.65,Low,Commercial associate,Sales staff,Semi-Urban,47784.74,261.48,N,Y,,839.57,0,Inactive,63,1612.65,1,Semi-Urban,1,90658.48,35838.56
F,64,3452.79,High,Pensioner,,Semi-Urban,98691.13,461.51,Y,Y,2,828.5,0,,75,3452.79,2,Urban,1,143233.43,74018.35
M,53,1583.23,Low,Working,,Semi-Urban,116486.82,312.77,Y,Y,2,859.43,0,Inactive,128,1583.23,1,Rural,1,194235.72,87365.12
M,23,2776.17,Low,Working,Managers,Rural,84340.52,626.79,Y,Y,4,636.18,1,Inactive,389,2776.17,2,Urban,0,124258.8,0
F,47,1268.7,Low,Working,Laborers,Rural,39248.78,151.18,Y,Y,1,712.68,1,Active,560,1268.7,1,Rural,1,59577.95,0
F,27,3067.15,Low,Working,Core staff,Semi-Urban,208557.19,668.11,N,N,1,849.11,0,Active,247,3067.15,2,Rural,1,236340.77,156417.89
F,65,,High,Pensioner,,Rural,159084.44,669.91,Y,Y,2,762.62,0,Active,844,,4,Rural,1,201127.66,111359.11
M,22,902.76,,Commercial associate,Laborers,Semi-Urban,24492.49,205.19,N,N,,765.53,1,Active,459,902.76,1,Semi-Urban,1,39253.3,18369.37
M,39,3147.16,Low,Commercial associate,Core staff,Urban,132937.78,689.46,N,Y,1,776.4,0,Inactive,24,3147.16,1,Semi-Urban,1,236227.32,0
M,44,,Low,Working,Laborers,Semi-Urban,36679.41,380.41,N,N,2,814,1,Unpossessed,690,,2,Semi-Urban,1,61590.67,25675.59
F,41,1964.37,Low,Working,Core staff,Semi-Urban,141487.86,450.85,N,N,2,658.09,0,Inactive,684,1964.37,4,Rural,1,215955.21,99041.5
M,64,1719.39,High,Pensioner,,Semi-Urban,32135.67,170.86,Y,Y,6,719.37,0,Inactive,624,1719.39,3,Urban,1,38619.45,22494.97
F,26,1916.5,Low,Commercial associate,Laborers,Rural,77574.07,389.36,N,Y,3,682.95,0,Active,652,1916.5,3,Rural,0,98825,0
M,33,3206.6,Low,Working,Sales staff,Semi-Urban,193868.46,572.64,N,Y,3,735.35,0,Unpossessed,479,3206.6,4,Semi-Urban,1,326877.75,0
F,18,2746.86,Low,Working,,Semi-Urban,89832.57,702.51,N,N,3,607.81,0,Inactive,970,2746.86,1,Urban,0,128418.87,0
F,18,1141.71,Low,Working,Drivers,Rural,65516.96,291.23,N,Y,2,647.93,1,Active,228,1141.71,2,Semi-Urban,1,81609.84,0
M,18,1524.58,Low,State servant,Core staff,Semi-Urban,31335.51,383.57,N,N,3,664.53,1,Unpossessed,859,1524.58,3,Rural,1,42431.1,20368.08
M,19,3238.78,Low,Commercial associate,Managers,Rural,146718.52,436.01,N,N,3,750.16,0,Inactive,219,3238.78,4,Urban,1,258684,110038.89
F,39,2461.69,Low,State servant,Core staff,Semi-Urban,30707.86,305.42,Y,N,4,734.92,0,Active,913,2461.69,4,Rural,1,42365.96,0
M,18,2610.55,Low,State servant,Core staff,Semi-Urban,80663.66,379.66,N,Y,1,834.13,0,Active,424,2610.55,1,Semi-Urban,1,151211.02,0
F,18,3490.44,Low,State servant,Drivers,Semi-Urban,43566.46,384.5,Y,Y,4,725.72,1,Unpossessed,712,3490.44,3,Semi-Urban,1,54668.2,30496.52
F,21,2798.82,Low,Working,High skill tech staff,Semi-Urban,75912.4,309.7,Y,Y,2,718.31,0,Active,61,2798.82,4,Semi-Urban,1,116102.59,0
M,51,1281.01,Low,Working,Drivers,Semi-Urban,39032.37,236.65,Y,N,2,620.39,0,Active,357,1281.01,4,Urban,1,47559.07,0
M,58,2026.02,Low,Commercial associate,Core staff,Rural,190104.23,529.88,N,Y,2,749.39,0,,643,2026.02,4,Rural,1,293727.8,123567.75
M,60,2139.59,High,Pensioner,,Semi-Urban,148018.72,891.47,N,Y,2,879.31,1,Inactive,120,2139.59,1,Urban,1,211558.13,125815.91
F,54,2070.62,,Working,Laborers,Semi-Urban,192177.81,501.99,Y,Y,3,,0,Inactive,47,2070.62,2,Urban,1,228965.55,0
M,18,1770.77,Low,State servant,Core staff,Semi-Urban,37131.37,193.58,N,Y,2,838.24,0,Inactive,477,1770.77,2,Rural,1,66157.16,27848.53
F,62,2667.41,High,Pensioner,,Semi-Urban,156736.99,465.9,N,N,2,837.76,0,Inactive,532,2667.41,3,Rural,1,294808.6,109715.89
M,58,,,Commercial associate,Core staff,Semi-Urban,25664.16,147.23,N,Y,,751.51,0,Inactive,251,,1,Urban,1,36522.86,17964.91
M,45,2785.26,Low,Working,Managers,Semi-Urban,61303.76,309.32,N,Y,1,807.2,0,Unpossessed,402,2785.26,4,Semi-Urban,1,86804.98,0
F,65,3140.43,High,Pensioner,,Semi-Urban,34354.73,148.51,N,Y,2,749.2,0,Active,958,3140.43,4,Semi-Urban,0,55660.42,22330.57
F,28,1819.63,Low,State servant,Core staff,Semi-Urban,42116.32,253.95,N,N,4,736.12,0,,434,1819.63,3,Rural,1,48365.29,-999
F,24,4086.38,Low,Working,,Semi-Urban,233749.18,697.37,N,Y,2,711.59,0,Active,203,4086.38,1,Semi-Urban,1,393856.25,163624.43
M,25,,Low,State servant,Managers,Semi-Urban,91204.67,480.09,Y,Y,3,657.68,1,Inactive,185,,1,Urban,1,138493.05,-999
F,52,2422.21,Low,Working,Laborers,Rural,102050.36,521.34,Y,N,4,,0,Unpossessed,2,2422.21,3,Urban,1,183266.57,0
M,24,,Low,Commercial associate,Security staff,Semi-Urban,159748.88,588.98,N,Y,,650.95,0,Active,819,,1,Urban,1,268956.56,111824.22
F,61,3096.28,Low,Working,High skill tech staff,Urban,115340.05,686.66,Y,Y,2,683.39,0,Inactive,221,3096.28,2,Rural,1,206233.39,0
F,44,1759.8,Low,Commercial associate,Sales staff,Rural,43482.89,250.96,N,Y,1,757.25,0,Inactive,816,1759.8,3,Semi-Urban,0,67097.28,0
F,61,3334.64,Low,Working,Drivers,Semi-Urban,115269.37,447.15,N,Y,4,707.63,0,Inactive,580,3334.64,1,Rural,1,207387.57,74925.09
M,18,1464.85,Low,Working,Sales staff,Semi-Urban,66569.58,272.02,N,Y,2,614.32,0,Inactive,706,1464.85,2,Urban,1,77180.27,0
F,34,1243.75,Low,Working,,Semi-Urban,100339.28,336.13,N,Y,2,841.45,0,Inactive,644,1243.75,3,Semi-Urban,1,180505.55,0
F,44,1883.51,Low,Working,Sales staff,Semi-Urban,43280.37,219.88,N,N,2,673.28,0,Active,66,1883.51,3,Rural,1,81556.52,30296.26
M,46,,Low,Working,,Semi-Urban,158331.78,544.31,Y,Y,2,,0,Unpossessed,949,,2,Urban,1,298534.75,126665.42
M,55,,Low,Working,Core staff,Semi-Urban,94417.12,462.04,Y,N,,651.73,0,Unpossessed,757,,3,Rural,1,176744.51,61371.13
F,18,2720.16,Low,State servant,Accountants,Semi-Urban,35343.55,172.16,Y,Y,2,717.93,0,Active,291,2720.16,1,Urban,1,56759.76,24740.48
M,32,,Low,Commercial associate,,Urban,39414.14,210.85,N,N,1,798.94,0,Active,442,,2,Rural,1,51475.42,31531.31
M,27,3854.41,Low,Working,Drivers,Semi-Urban,227729.02,620.6,Y,N,2,720.25,0,Unpossessed,40,3854.41,2,Urban,1,320949.06,159410.31
F,65,1316.83,High,Pensioner,,Semi-Urban,45652.34,330.4,N,Y,2,841.4,1,Unpossessed,885,1316.83,2,Semi-Urban,1,60964.51,0
F,30,,Low,Commercial associate,High skill tech staff,Semi-Urban,62574.94,345.8,N,Y,2,,1,Unpossessed,97,,1,Rural,1,76597.01,40673.71
M,56,,Low,Working,Managers,Semi-Urban,72732.6,226.07,N,N,1,783.6,0,Unpossessed,647,,3,Semi-Urban,1,103776.34,54549.45
F,45,939.51,Low,Working,Sales staff,Rural,73453.48,353.33,Y,Y,3,721.77,0,Unpossessed,256,939.51,2,Semi-Urban,1,132413.75,47744.76
F,40,816.81,Low,Working,Cooking staff,Semi-Urban,35757.29,344.83,N,Y,2,777.72,0,Inactive,105,816.81,4,Semi-Urban,1,45706.08,28605.83
M,27,1642.6,Low,Working,Accountants,Semi-Urban,35395.94,160.36,Y,Y,3,719.04,0,Inactive,92,1642.6,4,Rural,1,49331.01,24777.16
M,62,2383.72,High,Pensioner,,Semi-Urban,29837.84,148.99,N,Y,2,828.64,0,Inactive,663,2383.72,1,Urban,0,44725.73,20886.49
F,61,1594.55,High,Pensioner,,Semi-Urban,79039.66,316.25,N,Y,2,695.57,0,Inactive,68,1594.55,4,Rural,1,128551.41,51375.78
M,53,2058.28,Low,Working,Core staff,Rural,193589.9,526.24,Y,N,4,809.76,0,Active,884,2058.28,1,Urban,1,277398.25,0
F,18,2775.84,Low,Commercial associate,Laborers,Semi-Urban,38064.64,371.81,Y,Y,2,778.88,0,,903,2775.84,4,Semi-Urban,1,70933.51,0
M,44,1764.38,Low,Working,Drivers,Rural,45434.66,196.81,Y,Y,3,612.45,0,Unpossessed,936,1764.38,1,Semi-Urban,1,81635.3,0
M,60,1669.41,High,Pensioner,,Semi-Urban,223281.19,713.86,N,Y,1,788.89,0,Inactive,191,1669.41,2,Semi-Urban,1,298058.6,167460.89
F,41,1041.51,Low,Working,Sales staff,Rural,69769.93,362.33,Y,Y,2,763.36,0,Inactive,586,1041.51,2,Semi-Urban,1,100723.19,48838.95
F,41,,Low,Working,Sales staff,Semi-Urban,26032.12,123.09,N,Y,1,630.05,1,Inactive,739,,4,Semi-Urban,1,32659.8,0
M,37,1312.9,Low,Working,Sales staff,Semi-Urban,23285.16,234.66,N,N,2,692.69,0,Active,634,1312.9,2,Rural,1,41975.39,16299.61
M,64,4564.17,High,Pensioner,,Semi-Urban,143290.2,474.78,N,N,2,791.96,1,Inactive,975,4564.17,1,Urban,1,169190.88,0
M,58,1692.14,,Working,Sales staff,Semi-Urban,28004.72,128.07,N,N,1,657.53,1,Unpossessed,674,1692.14,1,Semi-Urban,1,49868.47,18203.07
F,44,1744.66,Low,Working,Waiters/barmen staff,Semi-Urban,33328.62,179.16,N,Y,1,819.24,0,Active,980,1744.66,3,Urban,1,38045.93,23330.03
M,64,4697.73,High,Pensioner,,Urban,209856.57,1029.34,N,Y,2,861.38,0,Inactive,787,4697.73,2,Semi-Urban,0,368523.44,209856.57
M,18,1110.09,Low,Working,Core staff,Semi-Urban,27321.65,192.1,N,N,4,644.5,0,Active,370,1110.09,1,Semi-Urban,1,38971.03,0
M,18,1935.77,Low,Working,,Semi-Urban,13429.26,126.05,N,N,1,852.53,0,Inactive,782,1935.77,3,Semi-Urban,1,25179.77,10743.41
M,33,3275.16,Low,Working,Laborers,Semi-Urban,31359.26,210.88,Y,Y,2,816.28,0,Unpossessed,949,3275.16,2,Urban,0,58830.74,0
F,38,3522.08,Low,Working,Laborers,Semi-Urban,37004.73,351.11,N,Y,1,744.57,0,Active,388,3522.08,3,Rural,1,68078.62,24053.07
M,23,3540.67,Low,Commercial associate,Private service staff,Urban,34177.94,154.72,N,N,,789.02,1,Unpossessed,658,,3,Rural,1,54652.76,27342.35
M,19,2340.17,Low,Working,Drivers,Semi-Urban,53903.77,248.98,N,Y,3,,1,Unpossessed,314,2340.17,2,Urban,1,65369.31,37732.64
F,59,2810.55,Low,Working,High skill tech staff,Rural,114387.92,563.89,N,Y,3,,0,Inactive,29,2810.55,4,Urban,1,176745.72,-999
F,30,2751.38,Low,State servant,Laborers,Urban,80590.41,363.39,N,Y,3,,0,Active,952,2751.38,4,Rural,1,97781.63,56413.29
M,18,,Low,Working,,Semi-Urban,66532.84,327.33,N,Y,2,830.03,1,Unpossessed,117,,3,Semi-Urban,1,94977.63,49899.63
F,29,1958.17,Low,Working,Laborers,Semi-Urban,133482.89,543.78,N,Y,1,766.67,0,Inactive,624,1958.17,3,Urban,1,236639.85,106786.31
F,36,3248.33,Low,Working,,Rural,192241.87,730.88,Y,Y,3,673.54,0,Inactive,333,3248.33,3,Urban,1,318870.21,124957.22
M,61,3692.38,Low,Commercial associate,Realty agents,Semi-Urban,101814.03,518.26,N,N,1,658.55,0,Active,134,3692.38,3,Rural,1,164790.43,71269.82
F,29,,Low,State servant,Core staff,Semi-Urban,156232.35,426.3,N,Y,2,835.96,1,Inactive,142,,2,Rural,1,293726.03,124985.88
F,26,4869.92,Low,Working,Managers,Semi-Urban,58010.98,500.26,N,Y,1,627.71,0,Inactive,660,4869.92,4,Semi-Urban,0,101635.7,0
F,64,1869.58,Low,Commercial associate,Low-skill Laborers,Semi-Urban,17184.39,199.1,N,N,1,611.62,0,Active,929,1869.58,1,Urban,1,24240.87,0
M,20,,Low,Commercial associate,Sales staff,Semi-Urban,157278.66,475.39,N,Y,4,727.19,1,Inactive,31,,1,Urban,1,290567.54,102231.13
F,48,2115.75,Low,Working,Sales staff,Rural,89992.76,447.76,N,Y,2,646.04,1,,650,2115.75,2,Semi-Urban,1,103780.42,0
F,29,1331.92,Low,Working,Private service staff,Semi-Urban,45699.99,300.35,N,Y,2,704.45,0,Inactive,299,1331.92,2,Semi-Urban,1,63118.29,31989.99
M,65,1292.76,High,Pensioner,,Semi-Urban,42682.74,284.81,N,Y,1,845.38,0,Active,237,1292.76,2,Semi-Urban,0,53932.73,34146.19
F,53,2336.65,Low,Commercial associate,,Semi-Urban,106059.63,301.62,N,Y,1,755.01,1,Inactive,278,2336.65,4,Rural,1,192326.18,84847.7
F,46,2112.44,,Working,Laborers,Semi-Urban,127220.96,556.84,Y,Y,,831.17,1,Active,750,2112.44,2,Urban,1,237743.31,95415.72
F,62,2645.38,Low,State servant,Medicine staff,Semi-Urban,159017.81,441.64,N,Y,2,866.59,0,Inactive,274,2645.38,1,Semi-Urban,0,291546.08,159017.81
F,62,,High,Pensioner,,Semi-Urban,230557.26,669.53,Y,Y,2,848.88,0,Unpossessed,95,,2,Rural,1,335174.53,172917.94
F,54,4709.73,,Commercial associate,,Semi-Urban,268060.68,698.57,N,N,2,660.8,0,Active,974,4709.73,4,Urban,1,318194.89,187642.48
M,64,981.65,Low,Working,Core staff,Rural,25311.04,103.51,N,Y,2,831.64,0,Unpossessed,247,981.65,2,Rural,1,37716.83,20248.83
F,18,3372.53,Low,Commercial associate,Drivers,Semi-Urban,71267.86,516.97,N,Y,2,822.28,0,Active,619,3372.53,4,Urban,1,105422.11,0
F,62,4460.45,Low,Working,Medicine staff,Semi-Urban,17679.21,182.16,Y,Y,3,659.95,0,Unpossessed,543,4460.45,2,Semi-Urban,1,21666.83,11491.49
M,46,1961.96,Low,Commercial associate,Laborers,Semi-Urban,73717.91,405.91,N,N,,723.64,1,Inactive,284,1961.96,3,Semi-Urban,1,106517.55,51602.54
M,33,2629.59,Low,Working,Laborers,Semi-Urban,142933.15,583.16,Y,N,2,734.64,1,Inactive,408,2629.59,1,Urban,1,263822.24,92906.55
M,52,4024.44,Low,Working,,Rural,94659.47,483.69,N,Y,2,781.46,0,Active,780,4024.44,2,Rural,1,110118.35,75727.58
M,18,2060.6,Low,Working,,Semi-Urban,80304.82,262.5,Y,N,,648.61,0,,939,2060.6,1,Rural,1,99302.63,0
F,29,1687.68,Low,Working,Drivers,Semi-Urban,106241.54,435.77,Y,Y,,672.45,0,Inactive,805,1687.68,1,Urban,1,152552.63,74369.08
M,31,,Low,Working,Laborers,Semi-Urban,12311.49,130.91,N,Y,3,753.64,0,Active,326,,3,Urban,1,18351.79,9849.19
M,65,2366.55,High,Pensioner,,Semi-Urban,87857.86,483.77,N,N,1,829.66,0,Inactive,252,2366.55,1,Urban,0,106726.75,61500.5
F,61,944.55,Low,Working,Laborers,Semi-Urban,72306.68,384.58,N,N,1,683.08,0,Active,115,944.55,3,Urban,-999,95488.55,50614.68
F,65,2732.7,High,Pensioner,,Semi-Urban,140348.03,585.09,N,Y,2,757.19,1,Inactive,420,2732.7,1,Semi-Urban,1,242737.25,0
